"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"36","005","0133","43207","4","40.8679","-73.87809","WGS84","Freon 113","24 HOUR","","2017","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","3","0","","0.101724","0.013131",".","0.1","","","0.2","2017-01-13 00:00","0.1","2017-01-01 00:00","0.1","2017-01-07 00:00","0.1","2017-01-19 00:00","0.1","0.1","0.1","0.1","0.1","0.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43208","4","40.8679","-73.87809","WGS84","Freon 114","24 HOUR","","2017","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","3","0","","0","0",".","0","","","0","2017-01-01 00:00","0","2017-01-07 00:00","0","2017-01-13 00:00","0","2017-01-19 00:00","0","0","0","0","0","0","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43502","10","40.8679","-73.87809","WGS84","Formaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","45","74",".",".","43","61","0","Certification not required","0","0","","1.617778","1.008439",".","0.5","","","5","2017-06-30 00:00","4.3","2017-06-12 00:00","4","2017-05-19 00:00","2.8","2017-07-18 00:00","1.2","2.1","2.8","4","5","5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43954","1","40.8679","-73.87809","WGS84","n-Undecane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.41691","0.322723",".","0","","","6.29","2017-08-26 06:00","2.5","2017-08-26 17:00","1.91","2017-08-25 19:00","1.87","2017-08-02 09:00","0.36","0.53","0.73","0.96","1.2","1.48","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","68101","1","40.8679","-73.87809","WGS84","Sample Flow Rate- CV","24 HOUR","","2017","Percent","No Events","122","100",".",".","122","122","0","Certification not required","0","0","","0.1","0",".","0.1","","","0.1","2017-01-01 00:00","0.1","2017-01-04 00:00","0.1","2017-01-07 00:00","0.1","2017-01-10 00:00","0.1","0.1","0.1","0.1","0.1","0.1","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","68102","1","40.8679","-73.87809","WGS84","Sample Volume","24 HOUR","","2017","Cubic meter","No Events","122","100",".",".","122","122","0","Certification not required","0","0","","24","0",".","24","","","24","2017-01-01 00:00","24","2017-01-04 00:00","24","2017-01-07 00:00","24","2017-01-10 00:00","24","24","24","24","24","24","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","68103","1","40.8679","-73.87809","WGS84","Ambient Min Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","122","100",".",".","122","122","0","Certification not required","0","0","","8.265574","9.05112",".","-10","","","24","2017-07-21 00:00","23.9","2017-06-12 00:00","23.2","2017-06-30 00:00","23.2","2017-07-12 00:00","8.6","15.7","19.9","20.7","23.2","23.9","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45203","2","40.8679","-73.87809","WGS84","Ethylbenzene","24 HOUR","","2017","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","3","0","","0.303448","0.179635",".","0.1","","","0.9","2017-10-22 00:00","0.7","2017-01-25 00:00","0.6","2017-02-18 00:00","0.6","2017-02-24 00:00","0.3","0.4","0.6","0.6","0.7","0.9","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45204","2","40.8679","-73.87809","WGS84","o-Xylene","24 HOUR","","2017","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","3","0","","0.346552","0.195758",".","0.1","","","0.9","2017-01-25 00:00","0.9","2017-10-22 00:00","0.7","2017-02-18 00:00","0.7","2017-02-24 00:00","0.3","0.4","0.7","0.7","0.9","0.9","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45207","2","40.8679","-73.87809","WGS84","1,3,5-Trimethylbenzene","24 HOUR","","2017","Parts per billion Carbon","No Events","58","95",".",".","58","61","0","Certification not required","3","0","","0.089655","0.064044",".","0","","","0.2","2017-01-01 00:00","0.2","2017-01-19 00:00","0.2","2017-01-25 00:00","0.2","2017-02-06 00:00","0.1","0.1","0.2","0.2","0.2","0.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43102","1","40.8679","-73.87809","WGS84","Total NMOC (non-methane organic compound)","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","47.649137","29.253662",".","10.1","","","206.9","2017-08-02 09:00","202","2017-08-02 10:00","195","2017-06-08 03:00","185.6","2017-08-10 06:00","40.3","57.4","85.7","106.9","139.1","155.4","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43202","1","40.8679","-73.87809","WGS84","Ethane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","5.530575","3.102316",".","1.81","","","20.7","2017-06-08 03:00","18.3","2017-06-07 23:00","18.1","2017-08-02 09:00","18","2017-06-08 04:00","4.41","7.02","10","12.1","14","15.5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43000","1","40.8679","-73.87809","WGS84","Sum of PAMS target compounds","1 HOUR","","2017","Parts per billion Carbon","No Events","1207","14",".",".","51","365","0","Certification not required","79","0","","39.2343","23.710402",".","8.3","","","170.4","2017-08-02 09:00","170.2","2017-08-02 10:00","157.1","2017-08-10 06:00","154.7","2017-06-08 03:00","33","46.9","70.1","85.5","112.5","129.1","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43503","10","40.8679","-73.87809","WGS84","Acetaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","45","74",".",".","43","61","0","Certification not required","0","0","","1.004444","0.481926",".","0.4","","","2.5","2017-02-18 00:00","2.2","2017-06-30 00:00","1.9","2017-05-19 00:00","1.8","2017-06-12 00:00","0.9","1.2","1.7","1.9","2.5","2.5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43503","20","40.8679","-73.87809","WGS84","Acetaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","1.172881","0.624177",".","0.4","","","3.9","2017-10-22 00:00","2.5","2017-02-18 00:00","2.3","2017-06-30 00:00","2.2","2017-12-03 00:00","1.1","1.5","2","2.3","2.5","3.9","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43203","1","40.8679","-73.87809","WGS84","Ethylene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","1.176072","0.949587",".","0.19","","","10.3","2017-06-01 06:00","8.45","2017-06-19 05:00","7.16","2017-08-02 08:00","6.41","2017-08-26 22:00","0.9","1.39","2.15","2.97","4.12","5.17","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45501","20","40.8679","-73.87809","WGS84","Benzaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.323729","0.254842",".","0.1","","","1.1","2017-06-18 00:00","0.9","2017-06-24 00:00","0.8","2017-06-30 00:00","0.8","2017-07-12 00:00","0.2","0.5","0.7","0.8","0.9","1.1","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43510","20","40.8679","-73.87809","WGS84","Butyraldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.120678","0.104912",".","0","","","0.52","2017-10-22 00:00","0.32","2017-06-12 00:00","0.28","2017-06-18 00:00","0.28","2017-06-30 00:00","0.12","0.16","0.28","0.28","0.32","0.52","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43502","20","40.8679","-73.87809","WGS84","Formaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","1.783051","1.024721",".","0.5","","","5.2","2017-06-30 00:00","4.4","2017-06-12 00:00","4","2017-05-19 00:00","4","2017-07-12 00:00","1.6","2.4","3.2","4","4.4","5.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43515","20","40.8679","-73.87809","WGS84","Methacrolein","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.276271","0.465106",".","0","","","2.2","2017-06-30 00:00","1.7","2017-07-12 00:00","1.6","2017-06-24 00:00","1.2","2017-08-23 00:00","0.1","0.4","0.9","1.6","1.7","2.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43552","20","40.8679","-73.87809","WGS84","Methyl ethyl ketone","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.457627","0.302976",".","0","","","1.2","2017-08-11 00:00","1.2","2017-09-04 00:00","1","2017-08-17 00:00","1","2017-09-16 00:00","0.4","0.7","0.9","1","1.2","1.2","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43504","20","40.8679","-73.87809","WGS84","Propionaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.125","0.093201",".","0","","","0.5","2017-10-22 00:00","0.3","2017-11-03 00:00","0.3","2017-11-21 00:00","0.3","2017-12-03 00:00","0.1","0.2","0.2","0.3","0.3","0.5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","45504","20","40.8679","-73.87809","WGS84","Tolualdehydes","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0.189831","0.73992",".","0","","","5","2017-06-30 00:00","2.6","2017-06-24 00:00","1.1","2017-06-18 00:00","0.5","2017-05-19 00:00","0","0","0.5","1.1","2.6","5","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43516","20","40.8679","-73.87809","WGS84","Trans-Crotonaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","59","97",".",".","59","61","0","Certification not required","0","0","","0","0",".","0","","","0","2017-01-01 00:00","0","2017-01-07 00:00","0","2017-01-13 00:00","0","2017-01-19 00:00","0","0","0","0","0","0","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43204","1","40.8679","-73.87809","WGS84","Propane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","1.76862","1.147878",".","0.31","","","10.5","2017-08-02 04:00","9.29","2017-08-18 11:00","7.51","2017-08-02 10:00","7.43","2017-08-02 06:00","1.46","2.24","3.25","4","5.07","5.43","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43206","1","40.8679","-73.87809","WGS84","Acetylene","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","0.676664","0.689404",".","0","","","15.7","2017-06-01 06:00","7.5","2017-06-19 05:00","5","2017-06-19 04:00","4.8","2017-08-02 08:00","0.5","0.9","1.3","1.6","2","2.3","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","005","0133","43212","1","40.8679","-73.87809","WGS84","n-Butane","1 HOUR","","2017","Parts per billion Carbon","No Events","1217","14",".",".","51","365","0","Certification not required","69","0","","2.035752","1.712439",".","0.27","","","15","2017-08-18 11:00","13.3","2017-08-02 10:00","12.8","2017-08-07 05:00","12.4","2017-08-02 09:00","1.5","2.49","3.95","5.69","7.3","8.26","1","","New York","Bronx","New York","PFIZER LAB SITE","200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
