"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"36","047","0122","68109","1","40.71961","-73.94771","WGS84","Elapsed Sample Time","24 HOUR","","2017","Minutes","No Events","76","62",".",".","76","122","0","Certification not required","1","0","","1439.381579","0.515548",".","1438","","","1440","2017-02-24 00:00","1440","2017-03-02 00:00","1440","2017-03-08 00:00","1440","2017-03-14 00:00","1439","1440","1440","1440","1440","1440","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68108","1","40.71961","-73.94771","WGS84","Average Ambient Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","759.190083","5.83283",".","744","","","773","2017-03-05 00:00","772","2017-03-23 00:00","771","2017-01-10 00:00","771","2017-12-27 00:00","759","762","768","769","771","772","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68107","1","40.71961","-73.94771","WGS84","Sample Max Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","762.603306","5.353316",".","751","","","777","2017-01-13 00:00","776","2017-01-10 00:00","776","2017-03-05 00:00","774","2017-03-23 00:00","762","766","770","772","776","776","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68106","1","40.71961","-73.94771","WGS84","Sample Min Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","755.909091","6.316645",".","735","","","770","2017-03-05 00:00","770","2017-03-23 00:00","769","2017-12-27 00:00","768","2017-11-12 00:00","756","759","764","766","769","770","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68105","1","40.71961","-73.94771","WGS84","Average Ambient Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","13.78843","9.379376",".","-6.1","","","30.4","2017-06-12 00:00","29.8","2017-07-21 00:00","28.9","2017-07-12 00:00","28.6","2017-05-19 00:00","14","22.4","25","27.1","28.9","29.8","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68104","1","40.71961","-73.94771","WGS84","Ambient Max Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","18.260331","10.045642",".","-4.7","","","36.6","2017-06-12 00:00","34.9","2017-05-19 00:00","34.8","2017-07-21 00:00","33.7","2017-07-12 00:00","18.8","27.7","30.3","32.1","34.8","34.9","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68103","1","40.71961","-73.94771","WGS84","Ambient Min Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","9.78843","9.08143",".","-9.8","","","25.6","2017-07-21 00:00","25.2","2017-07-12 00:00","24.6","2017-06-12 00:00","24.3","2017-07-03 00:00","9.8","18.2","21.3","22.7","24.6","25.2","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68102","1","40.71961","-73.94771","WGS84","Sample Volume","24 HOUR","","2017","Cubic meter","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","24","0",".","24","","","24","2017-01-01 00:00","24","2017-01-04 00:00","24","2017-01-07 00:00","24","2017-01-10 00:00","24","24","24","24","24","24","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","68101","1","40.71961","-73.94771","WGS84","Sample Flow Rate- CV","24 HOUR","","2017","Percent","No Events","121","99",".",".","121","122","0","Certification not required","1","0","","0.1","0",".","0.1","","","0.1","2017-01-01 00:00","0.1","2017-01-04 00:00","0.1","2017-01-07 00:00","0.1","2017-01-10 00:00","0.1","0.1","0.1","0.1","0.1","0.1","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","88101","1","40.71961","-73.94771","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2017","Micrograms/cubic meter (LC)","No Events","121","99","0","0","121","122","0","Certified","1","0","","7.545455","3.596874","7.53855765665554","2","","","21.9","2017-12-18 00:00","17.3","2017-05-19 00:00","17.2","2017-06-12 00:00","17.1","2017-08-02 00:00","6.8","9.2","12.2","15.3","17.2","17.3","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","047","0122","88101","1","40.71961","-73.94771","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2017","Micrograms/cubic meter (LC)","No Events","121","99",".",".","121","122","0","Certified","1","0","","7.545455","3.596874","7.53855765665554","2","","","21.9","2017-12-18 00:00","17.3","2017-05-19 00:00","17.2","2017-06-12 00:00","17.1","2017-08-02 00:00","6.8","9.2","12.2","15.3","17.2","17.3","1","","New York","Kings","New York","JHS 126","JHS 126  424 LEONARD ST","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
