"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"36","081","0125","88101","1","40.739264","-73.817694","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2017","Micrograms/cubic meter (LC)","No Events","90","74",".",".","90","122","0","Certified","2","0","","7.784444","3.309602","7.7729254727475","2.2","","","19.7","2017-12-18 00:00","16.3","2017-06-12 00:00","14.9","2017-08-02 00:00","14.5","2017-09-16 00:00","7.1","9.3","13","14.4","16.3","19.7","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","88101","1","40.739264","-73.817694","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2017","Micrograms/cubic meter (LC)","No Events","90","74","0","0","90","122","0","Certified","2","0","","7.784444","3.309602","7.7729254727475","2.2","","","19.7","2017-12-18 00:00","16.3","2017-06-12 00:00","14.9","2017-08-02 00:00","14.5","2017-09-16 00:00","7.1","9.3","13","14.4","16.3","19.7","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","68102","1","40.739264","-73.817694","NAD83","Sample Volume","24 HOUR","","2017","Cubic meter","No Events","90","100",".",".","45","46","0","Certification not required","2","0","","24","0",".","24","","","24","2017-04-07 00:00","24","2017-04-10 00:00","24","2017-04-13 00:00","24","2017-04-16 00:00","24","24","24","24","24","24","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","68106","1","40.739264","-73.817694","NAD83","Sample Min Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","90","100",".",".","45","46","0","Certification not required","2","0","","758.6","5.209757",".","742","","","771","2017-12-27 00:00","770","2017-11-12 00:00","769","2017-10-13 00:00","769","2017-10-22 00:00","758","761","766","768","770","771","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","68107","1","40.739264","-73.817694","NAD83","Sample Max Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","90","100",".",".","45","46","0","Certification not required","2","0","","764.766667","4.253353",".","753","","","775","2017-04-19 00:00","775","2017-10-04 00:00","774","2017-11-12 00:00","774","2017-12-27 00:00","764","767","771","773","775","775","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","45501","2","40.739264","-73.817694","NAD83","Benzaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","38","86",".",".","38","44","0","Certification not required","0","0","","0.376316","0.21987",".","0.1","","","1.1","2017-06-12 00:00","0.9","2017-06-24 00:00","0.7","2017-05-25 00:00","0.7","2017-10-22 00:00","0.4","0.4","0.7","0.9","1.1","1.1","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","43502","2","40.739264","-73.817694","NAD83","Formaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","37","84",".",".","37","44","0","Certification not required","0","0","","2.975676","1.538651",".","1.3","","","9.3","2017-06-12 00:00","6.4","2017-05-25 00:00","5.7","2017-10-22 00:00","4.2","2017-10-04 00:00","2.7","3.3","4.2","6.4","9.3","9.3","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","43504","2","40.739264","-73.817694","NAD83","Propionaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","38","86",".",".","38","44","0","Certification not required","0","0","","0.286842","0.248423",".","0.1","","","1.6","2017-05-25 00:00","0.7","2017-10-22 00:00","0.6","2017-06-12 00:00","0.5","2017-10-04 00:00","0.2","0.3","0.5","0.7","1.6","1.6","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","43517","2","40.739264","-73.817694","NAD83","Hexanaldehyde","24 HOUR","","2017","Parts per billion Carbon","No Events","38","86",".",".","38","44","0","Certification not required","0","0","","0.560526","0.373833",".","0.2","","","1.9","2017-05-25 00:00","1.7","2017-06-12 00:00","1.4","2017-10-22 00:00","1","2017-06-24 00:00","0.4","0.5","1","1.7","1.9","1.9","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","081","0125","68105","1","40.739264","-73.817694","NAD83","Average Ambient Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","90","100",".",".","45","46","0","Certification not required","2","0","","16.693333","8.265249",".","-6.4","","","30.4","2017-06-12 00:00","30.1","2017-07-21 00:00","28.7","2017-07-12 00:00","28.5","2017-05-19 00:00","18.4","22.9","25.5","27.3","30.1","30.4","1","","New York","Queens","New York","Queens College Near Road","I-495, H Harding Expwy and 153rd St","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
