"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"36","085","0055","88502","3","40.63307","-74.13719","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2017","Micrograms/cubic meter (LC)","No Events","347","95",".",".","347","365","0","Certification not required","0","0","","7.004899","3.368908",".","0.9","","","18","2017-02-07 00:00","15.8","2017-07-20 00:00","15.3","2017-03-25 00:00","15.2","2017-12-04 00:00","6.4","9.2","11.8","13.5","14.5","15.2","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","88502","3","40.63307","-74.13719","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2017","Micrograms/cubic meter (LC)","No Events","8319","95",".",".","347","365","0","Certification not required","304","0","","7.075057","4.607451",".","-7","","","43.1","2017-07-04 21:00","40.8","2017-07-04 22:00","35.9","2017-07-05 03:00","35.3","2017-07-05 04:00","6.3","9.4","13","15.5","19","21.5","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","88501","3","40.63307","-74.13719","WGS84","PM2.5 Raw Data","24-HR BLK AVG","","2017","Micrograms/cubic meter (LC)","No Events","317","87",".",".","317","365","0","Certification not required","0","0","","7.630915","3.183381",".","1.6","","","18.4","2017-07-20 00:00","16.8","2017-06-13 00:00","16.6","2017-05-18 00:00","16.6","2017-07-13 00:00","6.8","9.4","12.4","14.3","16.2","16.6","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","88501","3","40.63307","-74.13719","WGS84","PM2.5 Raw Data","1 HOUR","","2017","Micrograms/cubic meter (LC)","No Events","7601","87",".",".","317","365","0","Certification not required","302","0","","7.709762","4.471385",".","-6.3","","","45.8","2017-07-04 21:00","43.5","2017-07-04 22:00","38.5","2017-07-05 03:00","38","2017-07-05 04:00","6.6","9.7","13.7","16.2","20.1","22.4","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68109","1","40.63307","-74.13719","WGS84","Elapsed Sample Time","24 HOUR","","2017","Minutes","No Events","71","58",".",".","71","122","0","Certification not required","13","0","","1434.450704","41.706727",".","1088","","","1440","2017-01-07 00:00","1440","2017-01-13 00:00","1440","2017-01-19 00:00","1440","2017-01-25 00:00","1439","1440","1440","1440","1440","1440","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68108","1","40.63307","-74.13719","WGS84","Average Ambient Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","758.796296","5.733586",".","744","","","773","2017-03-05 00:00","771","2017-01-10 00:00","771","2017-03-23 00:00","770","2017-11-12 00:00","759","762","767","768","771","771","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68107","1","40.63307","-74.13719","WGS84","Sample Max Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","762.277778","5.236167",".","751","","","776","2017-01-13 00:00","775","2017-01-10 00:00","775","2017-03-05 00:00","774","2017-03-23 00:00","762","766","769","772","775","775","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68106","1","40.63307","-74.13719","WGS84","Sample Min Baro Pressure","24 HOUR","","2017","Millimeters (mercury)","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","755.444444","6.296911",".","735","","","770","2017-03-05 00:00","769","2017-03-23 00:00","768","2017-11-12 00:00","767","2017-10-22 00:00","756","759","764","765","768","769","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68105","1","40.63307","-74.13719","WGS84","Average Ambient Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","13.741667","9.193681",".","-7.1","","","29.5","2017-06-12 00:00","29","2017-07-21 00:00","28.5","2017-05-19 00:00","28.3","2017-07-12 00:00","15.2","22.3","24.7","26.6","28.5","29","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68104","1","40.63307","-74.13719","WGS84","Ambient Max Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","18.836111","9.754582",".","-5.3","","","36","2017-06-12 00:00","34.4","2017-07-21 00:00","34.2","2017-05-19 00:00","32.9","2017-07-03 00:00","19.6","27.9","30.6","32.1","34.2","34.4","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68103","1","40.63307","-74.13719","WGS84","Ambient Min Temperature","24 HOUR","","2017","Degrees Centigrade","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","8.065741","13.682414",".","-99","","","24.5","2017-07-12 00:00","23.4","2017-07-21 00:00","22.6","2017-07-18 00:00","22.3","2017-07-03 00:00","9.8","17.4","20.1","21.2","22.6","23.4","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
"36","085","0055","68102","1","40.63307","-74.13719","WGS84","Sample Volume","24 HOUR","","2017","Cubic meter","No Events","108","89",".",".","108","122","0","Certification not required","13","0","","23.907407","0.690889",".","18","","","24","2017-01-01 00:00","24","2017-01-04 00:00","24","2017-01-07 00:00","24","2017-01-10 00:00","24","24","24","24","24","24","1","","New York","Richmond","New York","RICHMOND POST OFFICE","POST OFFICE, 364 PORT RICHMOND AVE.","New York-Newark-Jersey City, NY-NJ-PA","AQS Data Mart"
